id,year,area,sp_area,day,body,alternatives,answer,GPT-3.5-turbo-answers,GEMINI_2023_answers
06,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 06  
Rui Barbosa
Mestre e companheiro, disse eu que nos íamos despedir. 
Mas disse mal. A morte não extingue: transforma; não aniquila: 
renova; não divorcia: aproxima. Um dia supuseste “morta e 
separada” a consorte dos teus sonhos e das tuas agonias, 
que te soubera “pôr um mundo inteiro no recanto” do teu 
ninho; e, todavia, nunca ela te esteve mais presente, no íntimo 
de ti mesmo e na expressão do teu canto, no fundo do teu ser 
e na face de tuas ações. Esses catorze versos inimitáveis, em 
que o enlevo dos teus discípulos resume o valor de toda uma 
literatura, eram a aliança de ouro do teu segundo noivado, um 
anel de outras núpcias, para a vida nova do teu renascimento 
e da tua glorificação, com a sócia sem nódoa dos teus anos 
de mocidade e madureza, da florescência e frutificação de 
tua alma. Para os eleitos do mundo das ideias a miséria 
está na decadência, e não na morte. A nobreza de uma nos 
preserva das ruínas da outra. Quando eles atravessavam essa 
passagem do invisível, que os conduz à região da verdade 
sem mescla, então é que entramos a sentir o começo do seu 
reino, o reino dos mortos sobre os vivos.
Esse é um trecho do discurso de Rui Barbosa na Academia 
Brasileira de Letras em homenagem a Machado de Assis 
por ocasião de sua morte. Uma das características desse 
discurso de homenagem é a presença de 
","
A metáforas relacionadas à trajetória pessoal e criadora do homenageado.
B recursos fonológicos empregados para a valorização do ritmo do texto.
C frases curtas e diretas no relato da vida e da morte do homenageado.
D contraposição de ideias presentes na obra do homenageado.
E seleção vocabular representativa do sentimento de nostalgia.",A,A,A
07,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 07  
Descrição da campanha publicitária: Foto de uma 
mulher, com semblante satisfeito, amamentando seu 
bebê. Sob o título Por que é tão importante amamentar?, 
o seguinte texto: “O bebê recebe os anticorpos da mãe 
para proteção contra diversas doenças, como diarreia e 
infecções, principalmente respiratórias. Diminui o risco 
de asma, diabetes e obesidade em crianças. É um 
ótimo exercício para o desenvolvimento da face do 
bebê e para o crescimento de dentes fortes e bonitos. 
Desenvolve a fala e uma boa respiração”.
Essa campanha publicitária do Ministério da Saúde visa
","
A divulgar um conjunto de benefícios proporcionados pela amamentação.
B apresentar tratamentos para infecções respiratórias em bebês.
C defender o direito das mulheres de amamentar em público.
D orientar sobre os exercícios para uma boa amamentação.
E informar sobre o aumento de anticorpos nas mães.",A,A,A
08,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 08  
Carta aberta à população brasileira
Prezados Cidadãos e Cidadãs,
O envelhecimento populacional é um fenômeno 
mundial. Infelizmente, nosso país ainda não está preparado 
para atender às demandas dessa população.
Este é o retrato da saúde pública no Brasil, que, 
apesar dos indiscutíveis avanços, apresenta um cenário 
de deficiências e falta de integração em todos os níveis de 
atenção à saúde: primária (atendimento deficiente nas 
unidades de saúde da atenção básica), secundária 
(carência de centros de referência com atendimento por 
especialistas) e terciária (atendimento hospitalar com 
abordagem ao idoso centrada na doença), ou seja, não 
há, na prática, uma rede de atenção à saúde do idoso.
Diante desse cenário, a Sociedade Brasileira de 
Geriatria e Gerontologia (SBGG) vem a público manifestar 
suas preocupações com o presente e o futuro dos idosos 
no Brasil. É preciso garantir a saúde como direito universal.
Esperamos que tanto nossos atuais quanto os futuros 
governantes e legisladores reflitam sobre a necessidade 
de investir na saúde e na qualidade de vida associada ao 
envelhecimento.
Dignidade à saúde do idoso!
Rio de Janeiro, 15 de setembro de 2014.
O objetivo desse texto é
","
A sensibilizar o idoso a respeito dos cuidados com a saúde.
B alertar os governantes sobre os cuidados requeridos pelo idoso.
C divulgar o trabalho da Sociedade Brasileira de Geriatria e Gerontologia.
D informar o setor público sobre o retrocesso da legislação destinada à população idosa.
E chamar a atenção da população sobre a qualidade dos serviços de saúde pública para o idoso.",E,E,B
09,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 09  
 A petição on-line criada por um cidadão paulista 
surtiu efeito: casado há três anos com seu companheiro, 
ele pedia a alteração da definição de “casamento” no 
tradicional dicionário Michaelis em português. Na definição 
anterior, casamento aparecia como “união legítima entre 
homem e mulher” e “união legal entre homem e mulher, 
para constituir família”.
O novo verbete não traz em nenhum momento as 
palavras homem ou mulher — agora a definição de 
casamento se refere a “pessoas”.
Para o diretor de comunicação do site onde a petição foi 
publicada, a iniciativa mostra a “eficiência da mobilização”. 
“Em dois dias, mudou-se uma definição que permanecia 
a mesma há décadas”, afirma. E conclui: “A plataforma 
serve para todos os tipos de causas, para as mudanças 
que importam para as pessoas.”.
 A notícia trata da mudança ocorrida em um dicionário da 
língua portuguesa. Segundo o texto, essa mudança foi 
impulsionada pela
","
A inclusão de informações no verbete.
B relevância social da instituição casamento.
C utilização pública da petição pelos cidadãos.
D rapidez na disseminação digital do verbete.
E divulgação de plataformas para a criação de petição.",C,C,C
10,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 10  
 A neozelandesa Laurel Hubbard fez história nos Jogos 
Olímpicos. Apesar de ter ficado de fora da disputa por 
medalhas, a levantadora de peso deixou sua marca na 
edição de Tóquio por ser a primeira mulher abertamente 
transgênero a participar de uma competição olímpica. 
No início da carreira, na década de 1990, a neozelandesa 
participava de disputas na categoria masculina. 
Em 2001, aos 23 anos, ela se afastou da atividade. 
“A pressão de tentar me encaixar em um mundo que 
talvez não tenha sido feito para pessoas como eu se tornou 
um fardo muito grande para suportar.” Em 2012, Laurel 
começou sua transição de gênero por meio de terapias 
hormonais e, em 2013, declarou abertamente ser uma 
mulher trans. Para o Comitê Olímpico Internacional, a 
participação de mulheres trans nos Jogos é permitida caso 
o nível de testosterona, hormônio que aumenta a massa 
muscular, esteja abaixo de 10 nanomols por litro por pelo 
menos 12 meses.
No texto, os limites do potencial inclusivo do esporte são dados pela
","
A dificuldade de conseguir bons resultados esportivos.
B dependência de características biológicas padronizadas.
C inexistência de uma categoria para pessoas transgênero.
D necessidade de afastamento temporário das competições.
E impossibilidade de uso controlado de substâncias exógenas.",B,B,B
11,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 11  
“Ganhei 25 medalhas em mundiais, sete em Jogos 
Olímpicos, e sou uma sobrevivente de abuso sexual.” 
Foi assim que Simone Biles se apresentou ao comitê do 
Senado norte-americano que investiga as supostas falhas 
do FBI no caso Larry Nassar. Biles e outras três atletas, 
vítimas dos abusos do ex-médico da equipe de ginástica 
feminina dos EUA, exigiram que os agentes da investigação 
sejam processados por falta de ação prévia contra Nassar, 
agora preso. Biles esclareceu que culpa Larry Nassar 
e “todo o sistema que o permitiu e o perpetrou”, acusando 
a Federação de Ginástica e o Comitê Olímpico dos Estados 
Unidos de saberem “muito antes” que ela havia sofrido 
abusos. A melhor ginasta do mundo é um ícone. Nos Jogos 
Olímpicos de Tóquio, uma lesão psicológica a impediu de 
competir como previa. No entanto, ela chegou ao topo como 
uma líder no trabalho de acabar com o preconceito com 
os problemas de saúde mental. “Não quero que nenhum 
outro atleta olímpico sofra o horror que eu e outras centenas 
suportamos e continuamos suportando até hoje”, afirmou.
O fato relatado na notícia chama a atenção acerca da 
necessidade de reflexão sobre a relação entre o esporte e
","
A o desempenho atlético internacional.
B a dimensão emocional dos atletas.
C os comitês olímpicos nacionais.
D as instituições de inteligência.
E as federações esportivas.",B,B,B
12,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 12  
O acesso às Práticas Corporais/Atividades Físicas 
(PC/AF) é desigual no Brasil, à semelhança de outros 
indicadores sociais e de saúde. Em geral, PC/AF prazerosas, 
diversificadas, mais afeitas ao período de lazer estão 
concentradas nas populações mais abastadas. As atividades 
físicas de deslocamento, trajetos a pé ou de bicicleta para 
estudar ou trabalhar, por exemplo, são mais frequentes 
na classe social menos favorecida. Aqui, há uma relação 
inversa e perversa entre variáveis socioeconômicas de acesso 
às PC/AF. As maiores prevalências de inatividade física foram 
em mulheres, pessoas com 60 anos ou mais, negros, pessoas 
com autoavaliação de saúde ruim ou muito ruim, com renda 
familiar de até quatro salários mínimos por pessoa, pessoas 
que desconhecem programas públicos de PC/AF e residentes 
em áreas sem locais públicos para a prática.
O fator central que impacta a realização de práticas 
corporais/atividades físicas no tempo de lazer no Brasil é a
","
A diferença entre homens e mulheres.
B inexistência de políticas públicas.
C diversidade de faixa etária.
D variação de condição étnica.
E desigualdade entre classes sociais.",E,E,E
13,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 13  
 A indústria do esporte eletrônico é um mercado que 
está crescendo em um ritmo mais rápido do que a economia 
mundial. Sua popularidade cresceu muito e no Brasil não 
é diferente. De acordo com os dados de uma pesquisa, 
mais de 64 por cento dos brasileiros que jogam videogame 
já ouviram falar de esporte eletrônico. No entanto, o que 
chama a atenção é o crescimento superior a 10 por cento 
do público praticante comparado ao ano anterior, que subiu 
de 44,7 por cento para 55,4 por cento. Trata-se de um 
percentual expressivo, já que o Brasil está no top 3 dentre 
os países que têm maior número de espectadores de esporte 
eletrônico do mundo. Comparado ao ano anterior, em 2020, 
o Brasil teve um marco de crescimento de 20 por cento 
na audiência. Mundo afora, a árdua dedicação de grandes 
gamers contribuiu para o reconhecimento do Comitê Olímpico 
Internacional, aliado a outras cinco federações esportivas 
e suas desenvolvedoras de jogos, que direcionaram um 
olhar mais atento ao assunto, permitindo dar o primeiro 
passo para concretizar, pela primeira vez na história dos 
jogos eletrônicos, um evento olímpico oficial.
O contexto em que o esporte eletrônico é apresentado no 
texto demonstra o(a)
","
A condição favorável à expansão dessa modalidade.
B promoção dessa prática por jogadores profissionais.
C impulsionamento de um processo de marketing.
D favorecimento de fabricantes dos jogos.
E modificação da audiência televisiva.",A,A,A
14,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 14  
O Marabaixo é uma expressão artístico-cultural 
formada nas tradições e na identificação cultural entre as 
comunidades negras do Amapá. O nome remonta às mortes 
de escravizados em navios negreiros que eram jogados na 
água. Em sua homenagem, hinos de lamento eram cantados 
mar abaixo, mar acima. Posteriormente, o Marabaixo se 
integrou à vivência das comunidades negras em um ciclo 
de danças, cantorias com tambores e festas religiosas, 
recebendo, em 2018, o título de Patrimônio Cultural do Brasil.
 A manifestação do Marabaixo se constituiu em expressão de arte e cultura, exercendo função de
","
A ressignificar episódios dramáticos em novas práticas culturais.
B adaptar coreografias como imitação dos movimentos do mar.
C lembrar dos mortos no passado escravista como forma de lamento.
D perpetuar uma narrativa de apagamento dos fatos históricos traumáticos.
E ritualizar a passagem de atos fúnebres nas produções coletivas com espírito festivo.",A,A,A
15,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 15  
O uso das redes sociais como forma de ampliar 
universos foi uma descoberta recente para o artista Wolney 
Fernandes, que começou a criar quando o ambiente em 
Goiás era mais árido em relação às artes visuais. “Hoje, ser 
diferente é uma potência e quem sabe o que quer com 
a própria arte encontra espaço”, diz. As colagens artísticas 
do goiano aparecem em capas de obras literárias pelo 
Brasil e exterior.
O artista goiano Wolney Fernandes busca expor seu 
trabalho por meio de plataformas virtuais com o objetivo de
","
A dar suporte à técnica de colagem em Artes Visuais, contornando dificuldades práticas.
B aproximar-se da estética visual própria da editoração de obras artísticas, como capas de livros.
C oferecer uma vitrine internacional para sua produção artística, a fim de dar mais visibilidade a suas obras.
D enfatizar o caráter original e inovador de suas criações artísticas, diferenciando-se das artes tradicionais.
E trazer um sentido tecnológico às suas colagens, uma vez que as imagens artísticas são recorrentes nas redes sociais.",C,C,C
16,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 16  
O mais antigo grupo de rap indígena do país, Brô MCs, 
surgiu em 2009, na aldeia Jaguapiru, em Dourados, Mato 
Grosso do Sul. Os integrantes conheceram o rap pelo rádio, 
ouvindo um programa que apresentava cantores e grupos 
brasileiros desse gênero musical. O Brô MCs conseguiu 
influenciar outros a fazerem rap e a lutarem pelas causas 
indígenas. Um dos nomes do movimento, Kunumí MC, 
é um jovem de 16 anos, da aldeia Krukutu, em São Paulo. 
O adolescente enxerga o rap como uma cultura da defesa 
e começou a fazer rimas quando percebeu que a poesia, 
pela qual sempre se interessou, podia virar música. 
Nas letras que cria, inspiradas tanto pelo rap quanto pelos 
ritmos indígenas, tenta incluir sempre assuntos aos quais 
acha importante dar voz, principalmente, a questão da 
demarcação de terras.
O movimento rap dos povos originários do Brasil revela o(a)
","
A fusão de manifestações artísticas urbanas contemporâneas com a cultura indígena.
B contraposição das temáticas socioambientais indígenas às questões urbanas.
C rejeição da indústria radiofônica às músicas indígenas.
D distanciamento da realidade social indígena. 
E estímulo ao estudo da poesia indígena.",A,A,A
17,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 17  
Sol se põe embalado pelo Bolero de Ravel
O sol começa a descer por trás da vegetação da Ilha 
da Restinga, na outra margem do rio Paraíba, colorindo 
o céu de amarelo, laranja e lilás. Então se ouvem as 
primeiras notas do Bolero, do compositor francês Maurice 
Ravel, executadas pelo saxofonista Jurandy. É assim o 
pôr do sol da praia do Jacaré, em Cabedelo (Grande João 
Pessoa). Depois do Bolero, Jurandy toca Asa branca, 
de Luiz Gonzaga, e Meu sublime torrão, de Genival 
Macedo, espécie de hino não oficial da Paraíba.
 A interpretação musical de Jurandy do Sax, codinome 
de José Jurandy Félix, apresenta um repertório 
caracterizado pela
","
A inter-relação de referenciais estéticos aparentemente distanciados. 
B valorização de músicas que revelam mensagens de serenidade.
C consagração do repertório erudito como cultura dominante.
D iniciativa de estímulo à vocação turística da cidade.
E divisão hierárquica entre gêneros e estilos musicais.",A,B,A
18,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 18  
TEXTO 1
Descrição da pintura: Obra em óleo sobre tela 
intitulada Eternos caminhantes, de Lasar Segall. Cinco 
figuras humanas com cabeças e olhos grandes e 
desproporcionais ao corpo. As imagens se entrecruzam 
e os rostos retorcidos têm aspectos geométricos. Uma 
das figuras representa uma criança.
SEGALL, L. Eternos caminhantes. Óleo sobre tela, 138 x 184 cm.
Museu Lasar Segall, IbramMinc, São Paulo, 1919.
TEXTO 2
Em 1933, a obra Eternos caminhantes ingressou 
em uma das primeiras edições das exposições de Arte 
Degenerada, promovida por membros do partido nazista 
alemão. Nos anos seguintes, ela voltaria a ser exibida na 
mostra denominada Exposição da Vergonha, promovida 
por pequenos grupos abastados. Em 1937, essa obra foi 
confiscada pelo Ministério da Propaganda daquele país, na 
grande ação nacional-socialista contra a “Arte Degenerada”.
Quase cinquenta obras de Lasar Segall foram confiscadas 
pelo regime totalitário alemão na primeira metade do 
século 20, entre elas a obra Eternos caminhantes, 
considerada degenerada por
","
A representar uma estética tida como inconveniente para o ideário político vigente.
B manifestar um posicionamento político-cultural concebido por grupos de oposição.
C expressar a cultura artística por meio da representação parcial do corpo humano.
D apresentar uma composição que antecipa o imaginário artístico germânico.
E estimular discussões sobre o papel da arte na construção coletiva de cultura.",A,A,A
19,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 19  
TEXTO 1
Logo no início de Gira, um grupo de sete bailarinas 
ocupa o centro da cena. Mãos cruzadas sobre a lateral 
esquerda do quadril, olhos fechados, troncos que pendulam 
sobre si mesmos em vaguíssimas órbitas, tudo nelas 
sugere o transe. Está estabelecido o caráter volátil do que 
se passará no palco dali para frente. Mas engana-se quem 
pensa que vai assistir a uma representação mimética dos 
cultos afro-brasileiros.
TEXTO 2
Descrição da fotografia: Um grupo de bailarinos, 
homens e mulheres, que preenchem todo o espaço 
de um palco com fundo escuro. Todos têm o dorso 
aparentemente nu e vestem saia de tecido leve e de 
cor clara. Com os braços em diferentes inclinações, 
os bailarinos perfazem movimentos de giro variados.
No diálogo que estabelece com religiões afro-brasileiras, 
sintetizado na descrição e na imagem do espetáculo, 
a dança exprime uma
","
A crítica aos movimentos padronizados do balé clássico.
B representação contemporânea de rituais ancestrais extintos.
C reelaboração estética erudita de práticas religiosas populares.
D releitura irônica da atmosfera mística presente no culto a entidades.
E oposição entre o resgate de tradições e a efemeridade da vida humana.",C,D,C
20,2023,LC - Linguagens e Códigos,,D1,"QUESTÃO 20  
Contos e novelas
João Alphonsus 
Era um gato preto, como convinha a um cultor das boas 
letras, que já lera Poe traduzido por Baudelaire. Preto e 
gordo. E lerdo. Tão gordo e lerdo que a certa altura observei 
que ia perdendo inteiramente as qualidades características 
da raça, que são em suma o ódio de morte aos ratos. Já nem 
os afugentava! Os ratos de Ouro Preto são também dignos 
e solenes — não ria — tradicionalistas... descendentes de 
outros ratos que naqueles mesmos casarões presenciaram 
acontecimentos importantes da nossa história... No sobrado 
do desembargador Tomás Antônio Gonzaga, imagine o 
senhor uma reunião dos sonhadores inconfidentes, com 
os antepassados daqueles ratos a passearem pelo sótão 
ou mesmo pelo assoalho por entre as pernas dos homens 
absortos na esperança da independência nacional! E 
depois, os ancestres daqueles roedores que eu via agora 
deslizar sutilmente no meu quarto podiam ter subido 
pelo poste da ignomínia colonial, onde estava exposta a 
cabeça do Tiradentes! E quando as órbitas se descarnaram 
ignominiosamente, podiam até ter penetrado no recesso 
daquele crânio onde verdadeiramente ardera a literatura, 
com a simplicidade do heroísmo, a febre nacionalista...
Descrevendo seu gato, o narrador remete ao contexto 
e a protagonistas da Inconfidência para criar um efeito 
desconcertante centrado no
","
A desenho imaginativo do casario colonial de Ouro Preto.
B efeito de apagamento de limites entre ficção e realidade.
C vínculo estabelecido entre animais urbanos e literatura.
D questionamento sutil quanto à sanidade dos inconfidentes.
E contraste entre austeridade pomposa e imagem repugnante.",E,B,B
