id,year,area,sp_area,day,body,alternatives,answer,GEMINI_2022_answers,GPT3.5_2022_answers,Llama2_2022_answers
06,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 06  
 A conquista da medalha de prata por Rayssa Leal, 
no skate street nos Jogos Olímpicos, é exemplo da 
representatividade feminina no esporte, avalia a âncora do 
jornal da rede de televisão da CNN. A apresentadora, que 
também anda de skate, celebrou a vitória da brasileira, 
que entrou para a história como a atleta mais nova a subir 
num pódio defendendo o Brasil. “Essa representatividade 
do esporte nos Jogos faz pensarmos que não temos que 
ficar nos encaixando em nenhum lugar. Posso gostar de 
passar notícia e, mesmo assim, gostar de skate, subir 
montanha, mergulhar, andar de bike, fazer yoga. Temos 
que parar de ficar enquadrando as pessoas dentro de 
regras. A gente vive num padrão no qual a menina ganha 
boneca, mas por que também não fazer um esporte de 
aventura? Por que o homem pode se machucar, cair de 
joelhos, e a menina tem que estar sempre lindinha dentro 
de um padrão? Acabamos limitando os talentos das 
pessoas”, afirmou a jornalista, sobre a prática do skate 
por mulheres.
O discurso da jornalista traz questionamentos sobre a 
relação da conquista da skatista com a","
A conciliação do jornalismo com a prática do skate.
B inserção das mulheres na modalidade skate street.
C desconstrução da noção do skate como modalidade masculina.
D vanguarda de ser a atleta mais jovem a subir no pódio olímpico.
E conquista de medalha nos Jogos Olímpicos de Tóquio.",C,C,C,C
07,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 07  
Pisoteamento, arrastão, empurra-empurra, agressões, 
vandalismo e até furto a um torcedor que estava caído no 
asfalto após ser atropelado nas imediações do estádio do 
Maracanã. As cenas de selvageria tiveram como estopim 
a invasão de milhares de torcedores sem ingresso, que 
furaram o bloqueio policial e transformaram o estádio 
em terra de ninguém. Um reflexo não só do quadro de 
insegurança que assola o Rio de Janeiro, mas também 
de como a violência social se embrenha pelo esporte mais 
popular do país. Em 2017, foram registrados 104 episódios 
de violência no futebol brasileiro, que resultaram em 
11 mortes de torcedores. Desde 1995, quando 
101 torcedores ficaram feridos e um morreu durante uma 
batalha campal no estádio do Pacaembu, autoridades têm 
focado as ações de enfrentamento à violência no futebol 
em grupos uniformizados, alguns proibidos de frequentar 
estádios. Porém, a postura meramente repressiva contra 
torcidas organizadas é ineficaz em uma sociedade que 
registra mais de 61 000 homicídios por ano. “É impossível 
dissociar a escalada de violência no futebol do panorama de 
desordem pública, social, econômica e política vivida pelo 
país”, de acordo com um doutor em sociologia do esporte.
Nesse texto, a violência no futebol está caracterizada como um(a)","
A problema social localizado numa região do país.
B desafio para as torcidas organizadas dos clubes.
C reflexo da precariedade da organização social no país.
D inadequação de espaço nos estádios para receber o público.
E consequência da insatisfação dos clubes com a organização dos jogos.",C,C,C,C
08,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 08  
Seis em cada dez pessoas com 15 anos ou mais 
não praticam esporte ou atividade física. São mais de 
100 milhões de sedentários. Esses são dados do estudo 
Práticas de esporte e atividade física, da Pnad 2015, 
realizado pelo IBGE. A falta de tempo e de interesse são 
os principais motivos apontados para o sedentarismo. 
Paralelamente, 73,3 por cento das pessoas de 15 anos 
ou mais afirmaram que o poder público deveria investir 
em esporte ou atividades físicas. Observou-se uma 
relação direta entre escolaridade e renda na realização 
de esportes ou atividades físicas. Enquanto 17,3 por 
cento das pessoas que não tinham instrução realizavam 
diversas práticas corporais, esse percentual chegava a 
56,7 por cento das pessoas com superior completo. Entre 
as pessoas que têm Práticas de Esporte e Atividade 
Física regulares, o percentual de praticantes ia de 31,1 
por cento, na classe sem rendimento, a 65,2 por cento, 
na classe de cinco salários mínimos ou mais. A falta de 
tempo foi mais declarada pela população adulta, com 
destaque entre as pessoas de 25 a 39 anos. Entre os 
adolescentes de 15 a 17 anos, o principal motivo foi não 
gostarem ou não quererem. Já o principal motivo para 
praticar esporte, declarado por 11,2 milhões de pessoas, 
foi relaxar ou se divertir, seguido de melhorar a qualidade 
de vida ou o bem-estar. A falta de instalação esportiva 
acessível ou nas proximidades foram motivos pouco 
citados, demonstrando que a não prática estaria menos 
associada à  infraestrutura disponível.
Com base na pesquisa e em uma visão ampliada de 
saúde, para a prática regular de exercícios ter influência 
significativa na saúde dos brasileiros, é necessário o 
desenvolvimento de estratégias que","
A promovam a melhoria da aptidão física da população, dedicando-se mais tempo aos esportes.
B combatam o sedentarismo presente em parcela significativa da população no território nacional.
C facilitem a adoção da prática de exercícios, com ações relacionadas à educação e à distribuição de renda.
D auxiliem na construção de mais instalações esportivas e espaços adequados para a prática de atividades físicas e esportes.
E estimulem o incentivo fiscal para a iniciativa privada destinar verbas aos programas nacionais de promoção da saúde pelo esporte.",C,B,C,B
09,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 09  
Criado há cerca de 20 anos na Califórnia, o 
mountainboard é um esporte de aventura que utiliza uma 
espécie de skate off-road para realizar manobras similares 
às das modalidades de snowboard, surf e do próprio 
skate. A atividade chegou ao Brasil em 1997 e hoje possui 
centenas de praticantes, um circuito nacional respeitável 
e mais de uma dezena de pistas espalhadas pelo país. 
Segundo consta na história oficial, o mountainboard foi 
criado por praticantes de snowboard que sentiam falta 
de praticar o esporte nos períodos sem neve. Para isso, 
eles desenvolveram um equipamento bem simples: 
uma prancha semelhante ao modelo utilizado na neve 
(menor e um pouco menos flexível), com dois eixos 
bem resistentes, alças para encaixar os pés e quatro 
pneus com câmaras de ar para regular a velocidade que 
pode ser alcançada em diferentes condições. Com essa 
configuração, o esporte se mostrou possível em diversos 
tipos de terreno: grama, terra, pedras, asfalto e areia. 
Além desses pisos, também é possível procurar pelas 
próprias trilhas para treinar as manobras.
 A história da prática do mountainboard representa 
uma das principais marcas das atividades de aventura, 
caracterizada pela
","
A competitividade entre seus praticantes. 
B atividade com padrões técnicos definidos.
C modalidade com regras predeterminadas.
D criatividade para adaptações a novos espaços.
E necessidade de espaços definidos para a sua realização.",D,D,D,D
10,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 10  
Ser cronista
Clarice Lispector
Sei que não sou, mas tenho meditado ligeiramente 
no assunto.
Crônica é um relato? É uma conversa? É um resumo 
de um estado de espírito? Não sei, pois antes de começar 
a escrever para o Jornal do Brasil, eu só tinha escrito 
romances e contos.
E também sem perceber, à medida que escrevia para 
aqui, ia me tornando pessoal demais, correndo o risco 
de em breve publicar minha vida passada e presente, o 
que não pretendo. Outra coisa notei: basta eu saber que 
estou escrevendo para o jornal, isto é, para algo aberto 
facilmente por todo o mundo, e não para um livro, que 
só é aberto por quem realmente quer, para que, sem 
mesmo sentir, o modo de escrever se transforme. Não é 
que me desagrade mudar, pelo contrário. Mas queria que 
fossem mudanças mais profundas e interiores que não 
viessem a se refletir no escrever. Mas mudar só porque 
isso é uma coluna ou uma crônica? Ser mais leve só 
porque o leitor assim o quer? Divertir? Fazer passar uns 
minutos de leitura? E outra coisa: nos meus livros quero 
profundamente a comunicação profunda comigo e com o 
leitor. Aqui no jornal apenas falo com o leitor e agrada-me 
que ele fique agradado. Vou dizer a verdade: não estou 
contente.
No texto, ao refletir sobre a atividade de cronista, a autora 
questiona características do gênero crônica, como","
A relação distanciada entre os interlocutores.
B articulação de vários núcleos narrativos.
C brevidade no tratamento da temática.
D descrição minuciosa dos personagens.
E público leitor exclusivo.",C,A,C,C
11,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 11  
Projeto na Câmara de BH quer a vacinação gratuita 
de cães contra a leishmaniose
 A doença é grave e vem causando preocupação na 
região metropolitana da capital mineira
Ela é uma doença grave, transmitida pela picada do 
mosquito-palha, e afeta tanto os seres humanos quanto 
os cachorros: a leishmaniose. Por ser um problema de 
saúde pública, a doença pode ganhar uma ação preventiva 
importante, caso um projeto de lei seja aprovado na 
Câmara Municipal de Belo Horizonte (CMBH). Diante 
do alto número de casos da doença na Grande BH, a 
Comissão de Saúde e Saneamento da CMBH aprovou 
a proposta de realização de campanhas públicas de 
vacinação gratuita de cães contra a leishmaniose, tema 
do PL 404/17, apreciado pelo colegiado em reunião 
ordinária, no dia 6 de dezembro.
Essa notícia, além de cumprir sua função informativa, 
assume o papel de","
A fiscalizar as ações de saúde e saneamento da cidade.
B defender os serviços gratuitos de atendimento à população.
C conscientizar a população sobre grave problema de saúde pública.
D propor campanhas para a ampliação de acesso aos serviços públicos.
E responsabilizar os agentes públicos pela demora na tomada de decisões.",C,C,C,C
12,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 12  
Ela era linda. Gostava de dançar, fazia teatro em São 
Paulo e sonhava ser atriz em Hollywood. Tinha 13 anos 
quando ganhou uma câmera de vídeo — e uma irmã.  
As duas se tornaram suas companheiras de 
experimentações. Adolescente, Elena vivia a criar 
filminhos e se empenhava em dirigir a pequena Petra 
nas cenas que inventava. Era exigente com a irmã. E 
acreditava no potencial da menina para satisfazer seus 
arroubos de diretora precoce. Por cinco anos, integrou 
algumas das melhores companhias paulistanas de teatro 
e participou de preleções para filmes e trabalhos na 
TV. Nunca foi chamada. No início de 1990, Elena tinha 
20 anos quando se mudou para Nova York para cursar 
artes cênicas e batalhar uma chance no mercado 
americano. Deslocada, ansiosa, frustrada após alguns 
testes de elenco malsucedidos, decepcionada com 
a ausência de reconhecimento e vitimada por uma 
depressão que se agravava com a falta de perspectivas, 
Elena pôs fim à vida no segundo semestre. Petra tinha 
7 anos. Vinte anos depois, é ela, a irmã caçula, que volta 
a Nova York para percorrer os últimos passos da irmã, 
vasculhar seus arquivos e transformar suas memórias em 
imagem e poesia.
Elena é um filme sobre a irmã que parte e sobre a irmã 
que fica. É um filme sobre a busca, a perda, a saudade, 
mas também sobre o encontro, o legado, a memória.  
Um filme sobre a Elena de Petra e sobre a Petra de Elena, 
sobre o que ficou de uma na outra e, essencialmente, um 
filme sobre a delicadeza.
O texto é exemplar de um gênero discursivo que cumpre a função social de
","
A narrar, por meio de imagem e poesia, cenas da vida das irmãs Petra e Elena.
B descrever, por meio das memórias de Petra, a separação de duas irmãs.
C sintetizar, por meio das principais cenas do filme, a história de Elena.
D lançar, por meio da história de vida do autor, um filme autobiográfico.
E avaliar, por meio de análise crítica, o filme em referência.",E,A,A,C
13,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 13  
PALAVRA – As gramáticas classificam as palavras 
em substantivo, adjetivo, verbo, advérbio, conjunção, 
pronome, numeral, artigo e preposição. Os poetas 
classificam as palavras pela alma porque gostam de 
brincar com elas, e para brincar com elas é preciso ter 
intimidade primeiro. É a alma da palavra que define, 
explica, ofende ou elogia, se coloca entre o significante 
e o significado para dizer o que quer, dar sentimento às 
coisas, fazer sentido. A palavra nuvem chove. A palavra 
triste chora. A palavra sono dorme. A palavra tempo 
passa. A palavra fogo queima. A palavra faca corta. 
 A palavra carro corre. A palavra “palavra” diz. O que quer. 
E nunca desdiz depois. As palavras têm corpo e alma, 
mas são diferentes das pessoas em vários pontos.
As palavras dizem o que querem, está dito, e pronto.
Esse texto, de Adriana Falcão, que simula um verbete 
para a palavra “palavra’’, constitui-se como um poema 
porque
","
A tematiza o fazer poético, como em “Os poetas classificam as palavras pela alma”.
B utiliza o recurso expressivo da metáfora, como em “As palavras têm corpo e alma”.
C valoriza a gramática da língua, como em “substantivo, adjetivo, verbo, advérbio, conjunção”.
D estabelece comparações, como em “As palavras têm corpo e alma, mas são diferentes das pessoas”.
E apresenta informações pertinentes acerca do conceito de “palavra”, como em “As gramáticas classificam as palavras”.",B,A,D,B
14,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 14  
 Fim
Fernanda Torres
Morte lenta ao luso infame que inventou a calçada 
portuguesa. Maldito D. Manuel  primeiro e sua corja de 
tenentes Eusébios. Quadrados de pedregulho irregular 
socados à mão. À mão! É claro que ia soltar, ninguém reparou 
que ia soltar? Branco, preto, branco, preto, as ondas do mar 
de Copacabana. De que me servem as ondas do mar de 
Copacabana? Me deem chão liso, sem protuberâncias 
calcárias. Mosaico estúpido. Mania de mosaico. Joga 
concreto em cima e aplaina. Buraco, cratera, pedra solta, 
bueiro-bomba. Depois dos setenta a vida se transforma 
numa interminável corrida de obstáculos. A queda é a 
maior ameaça para o idoso. “Idoso”, palavra odienta. 
Pior, só “terceira idade”. A queda separa a velhice da 
senilidade extrema. O tombo destrói a cadeia que liga a 
cabeça aos pés. Adeus, corpo. Em casa, vou de corrimão 
em corrimão, tateio móveis e paredes, e tomo banho 
sentado. Da poltrona para a janela, da janela para a cama, 
da cama para a poltrona, da poltrona para a janela. Olha 
aí, outra vez, a pedrinha traiçoeira atrás de me pegar. Um 
dia eu caio, hoje não.
O recurso que caracteriza a organização estrutural desse 
texto é o(a)
","
A justaposição de sequências verbais e nominais.
B mudança de eventos resultante do jogo temporal.
C uso de adjetivos qualificativos na descrição do cenário.
D encadeamento semântico pelo uso de substantivos sinônimos.
E inter-relação entre orações por elementos linguísticos lógicos.",A,No answer,E,E
15,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 15  
Fragmentos da letra da canção Assentamento
Chico Buarque
Zanza daqui
Zanza pra acolá
Fim de feira, periferia afora
 A cidade não mora mais em mim
Francisco, Serafim
Vamos embora
Ver o capim
Ver o baobá
Vamos ver a campina quando flora
 A piracema, rios contravim
Binho, Bel, Bia, Quim
Vamos embora
Quando eu morrer
Cansado de guerra
Morro de bem
Com a minha terra:
Cana, caqui
Inhame, abóbora
Onde só vento se semeava outrora
Amplidão, nação, sertão sem fim
Ó Manuel, Miguilim
Vamos embora
Nesse texto, predomina a função poética da linguagem. 
Entretanto, a função emotiva pode ser identificada no verso:","
A “Zanza pra acolá”.
B “Fim de feira, periferia afora”.
C “A cidade não mora mais em mim”.
D “Onde só vento se semeava outrora”.
E “Ó Manuel, Miguilim”.",C,C,C,C
16,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 16  
Descrição da imagem: Cartaz dividido verticalmente, 
que apresenta fotografias e textos. Do lado esquerdo, 
está a fotografia de uma mulher sentada ao volante de 
um carro e a mensagem: “Mulher ao volante, perigo 
constante”. O trecho “perigo constante” está riscado 
e, logo abaixo, está escrito “tem estrada para andar”. 
 A fotografia da direita é do rosto de um homem com 
o desenho de uma lágrima logo abaixo de um olho. 
Ao lado do homem, a mensagem: “Os homens não 
choram”, com o desenho de um grande X sobre a 
palavra “não”.
 A articulação entre os elementos verbais e os não verbais do texto tem como propósito desencadear a","
A identificação de distinções entre mulheres e homens.
B revisão de representações estereotipadas de gênero.
C adoção de medidas preventivas de combate ao sexismo.
D ratificação de comportamentos femininos e masculinos.
E retomada de opiniões a respeito da diversidade dos papéis sociais.",B,B,B,B
17,2022,LC - Linguagens e Códigos,,D1,"QUESTÃO 17  
As línguas silenciadas do Brasil
Para aprender a língua de seu povo, o professor 
Txaywa Pataxó, de 29 anos, precisou estudar os fatores 
que, por diversas vezes, quase provocaram a extinção 
da língua patxôhã. Mergulhou na história do Brasil e 
descobriu fatos violentos que dispersaram os pataxós, 
forçados a abandonar a própria língua para escapar da 
perseguição. “Os pataxós se espalharam, principalmente, 
depois do Fogo de 1951. Queimaram tudo e expulsaram 
a gente das nossas terras. Isso constrange o nosso povo 
até hoje”, conta Txaywa, estudante da Universidade 
Federal de Minas Gerais e professor na aldeia Barra 
Velha, região de Porto Seguro (BA). Mais de quatro 
décadas depois, membros da etnia retornaram ao antigo 
local e iniciaram um movimento de recuperação da língua 
patxôhã. Os filhos de Sameary Pataxó já são fluentes — 
e ela, que se mudou quando já era adulta para a aldeia, 
tenta aprender um pouco com eles. “É a nossa identidade. 
Você diz quem você é por meio da sua língua”, afirma a 
professora de ensino fundamental sobre a importância 
de restaurar a língua dos pataxós. O patxôhã está entre 
as línguas indígenas faladas no Brasil: o IBGE estimou 
274 línguas no último censo. A publicação Povos indígenas 
no Brasil 2011/2016, do Instituto Socioambiental, calcula 
160. Antes da chegada dos portugueses, elas totalizavam 
mais de mil.
O movimento de recuperação da língua patxôhã assume 
um caráter identitário peculiar na medida em que","
A denuncia o processo de perseguição histórica sofrida pelos povos indígenas.
B conjuga o ato de resistência étnica à preservação da memória cultural.
C associa a preservação linguística ao campo da pesquisa acadêmica.
D estimula o retorno de povos indígenas a suas terras de origem.
E aumenta o número de línguas indígenas faladas no Brasil.",B,B,B,B
